Text,Translation,Category
புதிய சட்டம்: அனைவரும் இரவு 8 மணிக்கு நிதானமாக நடக்க வேண்டும்,New law: Everyone must walk calmly by 8 PM,Humor
கடற்கரையில் மீனவர்கள் உணவகத்தை திறந்தனர்,Fishermen opened a restaurant on the beach,Humor
மருத்துவர்கள் மருந்துகள் மாறாக பழைய ஞாபகங்கள் பகிர்ந்தனர்,Doctors shared old memories instead of medicines,Humor
நூலகத்தில் புத்தகங்கள் வாசகர்களிடம் பேசியன,Books in the library spoke to readers,Humor
விவசாயிகள் மாடுகளை உணவு தயாரிக்க சாலையில் வைத்து உழைத்தனர்,"Farmers worked on the road, preparing food with cows",Humor
அரசு அலுவலகத்தில் புதுப்பிக்கப்பட்ட இழிவான தரமான சேவை,Updated substandard service at the government office,Humor
வானிலை அறிக்கை படி இன்று வானம் ஆரஞ்சு நிறமாக மாறும்,"According to the weather report, the sky will turn orange today",Humor
அரசியல் கூட்டத்தில் பூச்சிகள் பங்கேற்றன,Insects participated in a political rally,Humor
ரயில் நிலையத்தில் டிக்கெட் இல்லாமல் பயணித்த போலீசார்,Police traveled without tickets at the railway station,Humor
புதிய சட்டம்: அனைவரும் வாரம் ஒரு நாள் பாரம்பரிய உடைகள் அணிய வேண்டும்,New law: Everyone must wear traditional clothes once a week,Humor
குளிர்காலத்தில் பனிச்சிறுத்தை மழையில் கொலுசு அணிந்தது,Snow leopard wore anklets in the winter rain,Humor
ஆசிரியர்கள் மாணவர்களிடம் புதிய பாடக்குறிப்புகளை வழங்கினர்,Teachers provided new lesson notes to students,Humor
அரசு அதிகாரிகள் வேலை நேரத்தில் மூட்டை மூடிச்சென்றனர்,Government officials wrapped up work early,Humor
தேயிலை தோட்டத்தில் புதிய ரோபோ தேர்வு செய்யப்பட்டது,New robot tested in the tea plantation,Humor
வானவில் பார்வையாளர்கள் மலைப்பகுதியில் தேன்கூடம் கண்டுபிடித்தனர்,Rainbow viewers found a beehive in the mountain area,Humor
தலைமை ஆசிரியர் மாணவர்களிடம் கற்றுக்கொண்டார்,Headmaster learned from the students,Humor
புதிய பொறியாளர்கள் நகரப்பகுதியில் புதிய பாலம் அமைத்தனர்,New engineers constructed a new bridge in the city,Humor
தற்காலிக அமைச்சர் பொது மக்கள் போல் நடந்து கொண்டார்,Acting minister behaved like a commoner,Humor
மழைநாளில் நூலகம் நீர் மேலேதிகத்தை காரணமாக மூடப்பட்டது,Library closed due to waterlogging on a rainy day,Humor
பள்ளி மாணவர்கள் தங்கள் தலைமை ஆசிரியரிடம் புதிய பாடத்திட்டத்தை அறிமுகம் செய்தனர்,Students introduced a new syllabus to their headmaster,Humor
புதிய மழை மேகம் நீரை குளிர்ச்சியாக மாற்றும்,New rain cloud will turn water cold,Humor
சூரியகாந்தி தோட்டத்தில் சிறிய குழந்தைகள் புதிய திட்டங்களை உருவாக்கினர்,Small children created new plans in the sunflower garden,Humor
விஞ்ஞானிகள் புதிய பரிசோதனைகளில் சிறந்த முடிவுகளை பெற்றனர்,Scientists achieved better results in new experiments,Humor
நாடக நிகழ்ச்சியில் நடிப்பவர்கள் பார்வையாளர்களிடம் கற்றுக்கொண்டனர்,Actors learned from the audience in the play,Humor
மருத்துவமனையில் நோயாளிகள் தங்களது மருத்தவர்களை பரிசோதித்தனர்,Patients examined their doctors at the hospital,Humor
பொது மக்கள் புதிய சட்டத்தை பாராட்டினர்,Public praised the new law,Humor
பள்ளி மாணவர்கள் அரசியல்வாதிகளை நேர்காணல் செய்தனர்,School students interviewed politicians,Humor
கணினி மையத்தில் மாணவர்கள் தங்கள் கணினிகளை தானியங்கி முறையில் சுத்தம் செய்தனர்,Students automatically cleaned their computers at the computer center,Humor
நகர்ப்புற மந்திரி செடிகளுக்கு உரம் போட்டார்,Urban minister fertilized plants,Humor
"வானிலை அறிக்கை படி, சாலைகளில் கோலங்கள் தோன்றும்","According to the weather report, kolams will appear on the roads",Humor
அரசியல் கூட்டத்தில் பறவைகள் விவாதத்தில் ஈடுபட்டன,Birds engaged in debate at the political meeting,Humor
பள்ளி மாணவர்கள் தலைமை ஆசிரியருக்கு புதிய பாடங்களை கற்றுக்கொடுத்தனர்,Students taught new lessons to the headmaster,Humor
புதிய சட்டம்: அனைவரும் வாரத்தில் ஒரு நாள் பசுமைநிற ஆடை அணிய வேண்டும்,New law: Everyone must wear green clothes one day a week,Humor
கிராமப்புற பகுதியில் புதிய புத்தகக் கண்காட்சி,New book fair in the rural area,Humor
வானவில் பார்க்கும் மக்களுக்கு புதிய அழைப்பு குறித்தது,New announcement for those watching the rainbow,Humor
அரசு அலுவலகத்தில் பொது மக்கள் புதிய விதிகளை அறிமுகம் செய்தனர்,Public introduced new rules at the government office,Humor
நகர்ப்புற மந்திரி பசுமை காப்பாற்றும் முயற்சிகளில் ஈடுபட்டார்,Urban minister engaged in green conservation efforts,Humor
பள்ளி மாணவர்கள் தங்கள் ஆசிரியர்களிடம் புதிய பாடக்குறிப்புகளை கற்றுக்கொடுத்தனர்,Students taught new lesson notes to their teachers,Humor
புதிய திட்டத்தில் குளிர்காலத்தில் பனிச்சிறுத்தை வழிகாட்டப்பட்டது,Snow leopard guided in the new project during winter,Humor
அரசியல் கூட்டத்தில் பச்சைநிற உடைகளை அணிந்தனர்,Wore green clothes at the political meeting,Humor
கிராமப்புற பகுதியில் சாலைகள் பச்சையாக மாறும்,Roads in the rural area will turn green,Humor
மழைநாளில் பயணிகள் தங்கள் குடை தானியங்கி முறையில் திறந்தனர்,Commuters automatically opened their umbrellas on a rainy day,Humor
வானவில் பார்க்கும் மக்கள் புதிய தேர்வுகளை மேற்கொண்டனர்,Rainbow watchers conducted new tests,Humor
"வானிலை அறிக்கை படி, பள்ளம் கட்டுமானம் நிறுத்தப்படும்","According to the weather report, pothole construction will stop",Humor
பள்ளி மாணவர்கள் தங்களது தலைமை ஆசிரியரிடம் புதிய வழிமுறைகளை அறிமுகம் செய்தனர்,Students introduced new procedures to their headmaster,Humor
அரசியல்வாதிகள் தங்கள் தேர்தல் வாக்குறுதிகளை நிறைவேற்றினர்,Politicians fulfilled their election promises,Humor
கிராமப்புற பகுதியில் புதிய பசுமை திட்டம்,New green project in the rural area,Humor
"வானிலை அறிக்கை படி, சாலைகள் பச்சையாக மாறும்","According to the weather report, roads will turn green",Humor
கிராமப்புற பகுதியின் மக்கள் புதிய வழிமுறைகளை கற்றுக்கொண்டனர்,People in the rural area learned new procedures,Humor
புதிய சட்டம்: அனைவரும் வாரம் ஒரு நாள் மழை நீரில் நடைப்பயிற்சி செய்ய வேண்டும்,New law: Everyone must practice walking in the rain once a week,Humor
சூரியகாந்தி தோட்டத்தில் புதிய மழை மேகங்கள் உருவாகின்றன,New rain clouds forming in the sunflower garden,Humor
கிராமப்புற பகுதியின் மக்கள் புதுப்பிக்கப்பட்ட தூரிகைகளை பயன்படுத்தினர்,People in the rural area used updated brooms,Humor
நகரத்தில் மழைநாளில் வாகன ஓட்டிகள் புதிய விதிகளை கற்றுக்கொண்டனர்,Drivers learned new rules on a rainy day in the city,Humor
பள்ளி மாணவர்கள் தங்களது தலைமை ஆசிரியரிடம் புதிய பாடக்குறிப்புகளை கற்றுக்கொண்டனர்,Students taught new lesson notes to their headmaster,Humor
வானவில் பார்வையாளர்கள் புதிய அழைப்பு முறையை அறிமுகம் செய்தனர்,Rainbow watchers introduced a new call system,Humor
அரசு அலுவலகத்தில் பொது மக்கள் புதிய முறைகளை கற்றுக்கொண்டனர்,Public learned new methods at the government office,Humor
கிராமப்புற பகுதியின் மக்கள் புதிய மழை மேகங்களை கண்டுபிடித்தனர்,People in the rural area discovered new rain clouds,Humor
பள்ளி மாணவர்கள் தங்களது தலைமை ஆசிரியரிடம் புதிய பாடங்கள் கற்றுக்கொண்டனர்,Students taught new lessons to their headmaster,Humor
மழைநாளில் குழந்தைகள் புதிய விளையாட்டுகளை அறிமுகம் செய்தனர்,Children introduced new games on a rainy day,Humor
கிராமப்புற பகுதியில் மழைநாளில் பசுமை திட்டம்,Green project on a rainy day in the rural area,Humor
அரசியல்வாதிகள் தங்கள் தேர்தல் வாக்குறுதிகளை நிறைவேற்றினர்,Politicians fulfilled their election promises,Humor
நகரமன்ற கூட்டத்தில் பறவைகள் குரல் பதிவுகளுடன் பேசின,Birds spoke with recorded voices at the city council meeting,Humor
தொழில்நுட்ப கண்காட்சியில் நாய்கள் ரோபோ என சாகசம் செய்தன,Dogs posed as robots at the tech exhibition,Humor
மாநகராட்சி துப்புரவு பணியாளர்கள் சந்தை பகுதியில் உணவகம் திறந்தனர்,Municipal cleaners opened a restaurant in the market area,Humor
சாலையோரக் கடைகளில் பொது மக்கள் உணவு வழங்கினர்,Public served food at roadside stalls,Humor
மழைநாளில் சிறிய குழந்தைகள் புதிய மாதிரி பூமிகோள உருவாக்கினர்,Small children created new model planets on a rainy day,Humor
அரசியல்வாதிகள் பூனைவாசலில் புதிய சட்டங்களை அறிவித்தனர்,Politicians announced new laws in the cat market,Humor
மக்கள் பொது புத்தகத்தில் டிக்னிக் பிக்னிக் கொண்டாடினர்,Public celebrated a picnic at the public library,Humor
குளிர்காலத்தில் செல்லப்பிராணிகள் பள்ளி செல்லும்,Pets going to school in winter,Humor
பூங்காவில் சிறுவர்கள் சிறிய அரசியல்வாதிகளை தேர்வு செய்தனர்,Children elected mini politicians in the park,Humor
மாணவர்கள் உழவர்களை மாதிரி நடத்தி கற்றுக்கொண்டனர்,Students learned by role-playing as farmers,Humor
புதிய நிதி ஆண்டில் வானிலை அறிக்கையாளர் படிப்பில் மாணவர்கள் தேர்ச்சி பெற்றனர்,Students passed exams in weather forecasting for the new financial year,Humor
மக்கள் தங்கள் வீட்டில் வேலை செய்வதற்காக கடலில் இறங்கினர்,People descended into the sea to work from home,Humor
மழைநாளில் நூலகம் மாறுதல்களுக்கு மூடப்பட்டது,Library closed for changes on a rainy day,Humor
புதிய சட்டம்: அனைவரும் வாரத்தில் ஒரு நாள் சந்தையில் கடலை விளையாட வேண்டும்,New law: Everyone must play cards at the market one day a week,Humor
சிறுவர்கள் தங்கள் பெற்றோருக்கு புதிய பாடங்களை கற்றுக்கொடுத்தனர்,Children taught new lessons to their parents,Humor
நகரத்தில் பொது மக்கள் புதிய முறைகளைக் கற்றுக்கொண்டனர்,Public learned new methods in the city,Humor
பள்ளி மாணவர்கள் அரசியல்வாதிகளை நேர்காணல் செய்தனர்,School students interviewed politicians,Humor
கணினி மையத்தில் மாணவர்கள் தங்கள் கணினிகளை தானியங்கி முறையில் சுத்தம் செய்தனர்,Students automatically cleaned their computers at the computer center,Humor
நகர்ப்புற மந்திரி செடிகளுக்கு உரம் போட்டார்,Urban minister fertilized plants,Humor
"வானிலை அறிக்கை படி, சாலைகளில் கோலங்கள் தோன்றும்","According to the weather report, kolams will appear on the roads",Humor
அரசியல் கூட்டத்தில் பறவைகள் விவாதத்தில் ஈடுபட்டன,Birds engaged in debate at the political meeting,Humor
பள்ளி மாணவர்கள் தலைமை ஆசிரியருக்கு புதிய பாடங்களை கற்றுக்கொடுத்தனர்,Students taught new lessons to the headmaster,Humor
புதிய சட்டம்: அனைவரும் வாரத்தில் ஒரு நாள் பசுமைநிற ஆடை அணிய வேண்டும்,New law: Everyone must wear green clothes one day a week,Humor
கிராமப்புற பகுதியில் புதிய புத்தகக் கண்காட்சி,New book fair in the rural area,Humor
வானவில் பார்க்கும் மக்களுக்கு புதிய அழைப்பு குறித்தது,New announcement for those watching the rainbow,Humor
அரசு அலுவலகத்தில் பொது மக்கள் புதிய விதிகளை அறிமுகம் செய்தனர்,Public introduced new rules at the government office,Humor
நகர்ப்புற மந்திரி பசுமை காப்பாற்றும் முயற்சிகளில் ஈடுபட்டார்,Urban minister engaged in green conservation efforts,Humor
பள்ளி மாணவர்கள் தங்கள் ஆசிரியர்களிடம் புதிய பாடக்குறிப்புகளை கற்றுக்கொடுத்தனர்,Students taught new lesson notes to their teachers,Humor
புதிய திட்டத்தில் குளிர்காலத்தில் பனிச்சிறுத்தை வழிகாட்டப்பட்டது,Snow leopard guided in the new project during winter,Humor
அரசியல் கூட்டத்தில் பச்சைநிற உடைகளை அணிந்தனர்,Wore green clothes at the political meeting,Humor
கிராமப்புற பகுதியில் சாலைகள் பச்சையாக மாறும்,Roads in the rural area will turn green,Humor
மழைநாளில் பயணிகள் தங்கள் குடை தானியங்கி முறையில் திறந்தனர்,Commuters automatically opened their umbrellas on a rainy day,Humor
வானவில் பார்க்கும் மக்கள் புதிய தேர்வுகளை மேற்கொண்டனர்,Rainbow watchers conducted new tests,Humor
"வானிலை அறிக்கை படி, பள்ளம் கட்டுமானம் நிறுத்தப்படும்","According to the weather report, pothole construction will stop",Humor
பள்ளி மாணவர்கள் தங்களது தலைமை ஆசிரியரிடம் புதிய வழிமுறைகளை அறிமுகம் செய்தனர்,Students introduced new procedures to their headmaster,Humor
அரசியல்வாதிகள் தங்கள் தேர்தல் வாக்குறுதிகளை நிறைவேற்றினர்,Politicians fulfilled their election promises,Humor
கிராமப்புற பகுதியில் புதிய பசுமை திட்டம்,New green project in the rural area,Humor
"வானிலை அறிக்கை படி, சாலைகள் பச்சையாக மாறும்","According to the weather report, roads will turn green",Humor
கிராமப்புற பகுதியின் மக்கள் புதிய வழிமுறைகளை கற்றுக்கொண்டனர்,People in the rural area learned new procedures,Humor
புதிய சட்டம்: அனைவரும் வாரம் ஒரு நாள் மழை நீரில் நடைப்பயிற்சி செய்ய வேண்டும்,New law: Everyone must practice walking in the rain once a week,Humor
சூரியகாந்தி தோட்டத்தில் புதிய மழை மேகங்கள் உருவாகின்றன,New rain clouds forming in the sunflower garden,Humor
கிராமப்புற பகுதியின் மக்கள் புதுப்பிக்கப்பட்ட தூரிகைகளை பயன்படுத்தினர்,People in the rural area used updated brooms,Humor
நகரத்தில் மழைநாளில் வாகன ஓட்டிகள் புதிய விதிகளை கற்றுக்கொண்டனர்,Drivers learned new rules on a rainy day in the city,Humor
அரசியல் பயிற்சியில் பங்கேற்ற காகங்கள்,Crows participated in political training,Humor
பேருந்து நிலையத்தில் தானியங்கி நாய்கள் பயணிகளை வரவேற்றன,Automated dogs welcomed passengers at the bus station,Humor
"வானிலை அறிக்கை படி, இன்று வெயில் குளிர்ச்சியாக மாறும்","According to the weather report, the sun will turn cold today",Humor
மாநகராட்சி அலுவலகத்தில் புதிய பசுமை விதைகள் நடப்பட்டது,New green seeds planted at the municipal office,Humor
பள்ளியில் ஆசிரியர்கள் மாணவர்களிடம் கற்றுக்கொண்டனர்,Teachers learned from students at school,Humor
சிறுவர் நாடகத்தில் பங்கேற்ற அரசியல்வாதிகள்,Politicians participated in a children's play,Humor
மழைநாளில் மக்கள் தங்களின் மொபைல் தொலைபேசிகளை மிதிவண்டியாக மாற்றினர்,People turned their mobile phones into bicycles on a rainy day,Humor
கோவிலில் தானியங்கி பூஜை செய்யும் கருவிகள் அறிமுகம்,Automated puja performing devices introduced in the temple,Humor
வாகன ஓட்டிகள் புறாக்களை போன்று செல்லுகின்றனர்,Drivers are moving like pigeons,Humor
பள்ளி மாணவர்கள் தங்கள் பாடங்களை ரோபோ மூலம் கற்றுக்கொள்கின்றனர்,Students are learning their lessons via a robot,Humor
நகரத்தில் தானியங்கி மரங்கள் நடப்பட்டது,Automated trees were planted in the city,Humor
குளிர்காலத்தில் சாலை மேடைகளில் வெப்ப நிழல்கள் உருவாக்கப்பட்டது,Warm shadows created on road stages in winter,Humor
பள்ளி மாணவர்கள் அவர்களின் கணினி ஆசிரியர்களிடம் பாடம் கற்றுக்கொண்டனர்,Students learned lessons from their computer teachers,Humor
கிராமத்தில் பசுமை சாலை மந்திரிகள்,Green road magicians in the village,Humor
மக்கள் தங்கள் தொலைக்காட்சிகளில் உடனடி வானிலை மாற்றங்களைப் பார்த்தனர்,People watched instant weather changes on their televisions,Humor
விளையாட்டு மைதானத்தில் ரோபோ வீரர்கள் போட்டியில் பங்கேற்றனர்,Robot players participated in the sports ground competition,Humor
மரங்களை காப்பாற்றும் பறவைகள்,Birds saving trees,Humor
அரசு அலுவலகங்களில் செல்லப்பிராணிகள் வேலை செய்கின்றன,Pets working in government offices,Humor
தாய்மார்கள் தங்கள் குழந்தைகளை கற்றுக்கொடுக்க விளையாட்டு மைதானத்திற்கு அழைத்தனர்,Mothers took their children to the playground to teach them,Humor
வானவில் காட்சியில் மக்கள் பட்டாம்பூச்சிகளைப் பார்த்தனர்,People watched butterflies at the rainbow show,Humor
மருத்துவர்கள் தங்கள் நோயாளிகளிடம் புதிய மருத்துவமுறை கற்றுக்கொடுத்தனர்,Doctors taught new medical practices to their patients,Humor
குளிர்காலத்தில் பனித்திணறல் விழாவை மக்கள் கொண்டாடினர்,People celebrated the snowball festival in winter,Humor
புத்தகக் கண்காட்சியில் மக்கள் தங்கள் செல்லப்பிராணிகளுக்கு புத்தகங்கள் வாங்கினர்,People bought books for their pets at the book fair,Humor
பள்ளி மாணவர்கள் தலைமை ஆசிரியரிடம் தங்கள் விளையாட்டு சாதனைகளை அறிமுகம் செய்தனர்,Students showcased their sports achievements to the headmaster,Humor
கிராமப்புற பகுதியில் மக்கள் தங்கள் விவசாய கருவிகளை ரோபோ மூலம் மாற்றினர்,People in the rural area replaced their farming tools with robots,Humor
நகரம் முழுவதும் மக்கள் தங்கள் மொபைல் தொலைபேசிகளை உணவகமாக மாற்றினர்,People across the city turned their mobile phones into restaurants,Humor
பள்ளி மாணவர்கள் தங்கள் தலைமை ஆசிரியரிடம் புதிய வகுப்புகளை கற்றுக்கொடுத்தனர்,Students taught new classes to their headmaster,Humor
மழைநாளில் மக்கள் தங்கள் குடைகளைத் தானியங்கி முறையில் திறந்தனர்,People automatically opened their umbrellas on a rainy day,Humor
தானியங்கி காப்பகங்களில் புதிய பூச்சிகள் காத்திருக்கின்றன,New insects waiting in automated safes,Humor
அரசு அலுவலகத்தில் தானியங்கி கிளைகள் நிழல் வழங்குகின்றன,Automated branches providing shade at the government office,Humor
மழைநாளில் தானியங்கி வாகனங்கள் சாலையை தானாகவே சுத்தம் செய்கின்றன,Automated vehicles cleaning the road on a rainy day,Humor
பள்ளி மாணவர்கள் தங்கள் தலைமை ஆசிரியரிடம் புதிய பாடத்திட்டத்தை கற்றுக்கொடுத்தனர்,Students taught the new syllabus to their headmaster,Humor
நகர மன்ற கூட்டத்தில் செல்லப்பிராணிகள் கலந்து கொண்டன,Pets participated in the city council meeting,Humor
விவசாயிகள் மழைநாளில் விதைகளை மாற்றினர்கள்,Farmers switched seeds on a rainy day,Humor
அரசாங்கம் தினசரி மாம்பழம் வழங்கும் திட்டத்தை அறிமுகப்படுத்தியது,The government has introduced a scheme to distribute daily mangoes,Humor
"நம்ம ஊரின் மூக்குத்தி அம்மன் திருவிழாவில், அனைவருக்கும் விசிடிங் கார்டு பரிசு","In our town's Mookuthi Amman festival, everyone gets visiting cards as gifts",Humor
தமிழ் சினிமா: யாரும் பார்க்காத படம் 100 நாட்கள் ஓடியது,Tamil Cinema: Movie that no one watched runs for 100 days,Humor
"கடையில் விலைகளை குறைக்க, புதிய பர்ஸனல் லோன் வசதி அறிமுகம்",New personal loan facility introduced to reduce store prices,Humor
ரமணி பஜனை குழு அறிமுகப்படுத்திய எலெக்ட்ரானிக் பஜனை மாடல்,Electronic bhajan model introduced by Ramani Bhajan group,Humor
"இனி பகிரி தற்செயலா தாண்டினால், உங்கள் மொபைல் எண் பதிவு செய்யப்படும்","From now on, if you accidentally cross the toll, your mobile number will be recorded",Humor
கணவனின் அடிக்கும் அட்வான்ஸ் ரிசர்வேஷன் மேனேஜ்மென்ட் தொடங்கப்பட்டது,Husband's beating advance reservation management started,Humor
தினமும் ஒரு வறுத்த டிங்க்ஸ் தானமாக வழங்கும் புதிய திட்டம்,New scheme to donate a fried snack daily,Humor
எங்க அண்ணா டீக்கடை: 'காஃபி' ரோபோட்கள் மூலம் சேவை,Our brother's tea shop: Service by 'coffee' robots,Humor
பசுமை நெல் வளர்ப்பில் புதுமை: தமிழ்நாட்டில் சோலார் சக்தியில் பயிரிடல்,Innovation in green paddy cultivation: Solar-powered farming in Tamil Nadu,Humor
"சென்னை மாஸ்க் போட்டவர்கள் மேல் பரிசோதனை நடத்த, மக்கள் தங்கள் முகத்தை மறைப்பதற்கு வேறொரு வழியை தேடுகின்றனர்","To investigate people wearing masks in Chennai, residents are looking for alternative ways to hide their faces",Humor
தண்ணீர் பஞ்சம் தீர்க்க தமிழக அரசு 'பிரியாணி கஞ்சி' திட்டத்தை அறிமுகப்படுத்தியது,Tamil Nadu government introduces 'Biryani Soup' scheme to solve water shortage,Humor
சென்னை மெரினா கடற்கரை பாலைவனமாக மாறும்: புதிய தொழில்முறைச் செய்தி,Marina Beach in Chennai to turn into a desert: Professional news,Humor
"தமிழ்நாட்டில் திடீர் அன்னிய நாட்டு நுழைவு: ""அலியன்கள்' இந்தியா கடந்து வந்ததாக வெளியான தகவல்",Sudden alien invasion in Tamil Nadu: Reports claim 'Aliens' crossed into India,Humor
"""சாம்சங் டிவி வச்சு சாமி தரிசனம் பண்ணிக்கோ"" - புதிய மாடல் டிவியின் விளம்பரம்","""Do darshan with Samsung TV"" - Advertisement for new TV model",Humor
தமிழ் நாட்டில் பள்ளிகளுக்கு விடுமுறை அறிவிப்பு: மூட்டை முறுங்கினால் விடுமுறை,"Schools in Tamil Nadu announce holidays: Break a pencil, get a holiday",Humor
கோவில்களில் சாமி கும்பிட சோம்பு விலை உயர்வு,Increase in fennel prices to worship deities in temples,Humor
மாநகராட்சி புதிய திட்டம்: துப்பாக்கி ட்ரைனிங் பெறும் டாஸ்மாக் காவலர்கள்,Corporation's new plan: TASMAC guards to receive gun training,Humor
சென்னை மழையால் ஆக்கிரமிப்புகள் குளம் வடிகால் மாறியது,Chennai floods turn encroachments into ponds and drains,Humor
தமிழ்நாட்டில் புதிதாக மழை வைக்கும் யாகம் - மக்கள் மழையை காணாமல் போய் பெரும் அதிர்ச்சி,New rain-making ritual in Tamil Nadu - People shocked as rain disappears,Humor
சென்னையில் மூலிகை மருந்துகள் விற்கும் ரோபோ டாக்டர் புதிய பயணம் தொடங்கியது,Robo Doctor selling herbal medicines begins a new journey in Chennai,Humor
சென்னை மக்கள் வழக்கமான பேட்டி பார்த்தல்: 'அம்மா' யார் என்று தெரியவில்லை,Usual interview with Chennai residents: 'Don't know who 'Amma' is,Humor
"""மஞ்சள் பூ மழையில் உதவி செய்யும்"" புதிய அறிவிப்பு","""Turmeric flowers help during rain"" - New announcement",Humor
தமிழ் சினிமா புதிய வெளிப்பாடு: ஹீரோக்கள் ஹீரோயின்களை காப்பாற்றும் வேஷ்டி நாற்காலிகள் விற்கப்படும்,Tamil cinema's new revelation: Hero's dhoti chairs to rescue heroines will be sold,Humor
மும்பை அணி சென்னை கோவிலில் சாமி தரிசனம் செய்தது: அடுத்து கிண்டல்களும்,"Mumbai team visited Chennai temple for darshan: Next, teasing sessions",Humor
தமிழகத்தில் புதிய தொழில்நுட்ப கிராமம் - மக்கள் தங்கள் சொந்த ரோபோக்களை உருவாக்குகின்றனர்,New tech village in Tamil Nadu - Residents creating their own robots,Humor
"""முருகன் கடவுள் ஹெல்மெட் கட்டாயம்"" புதிய கோவில் விதி","""Lord Murugan helmets mandatory"" - New temple rule",Humor
"தமிழக அரசு புதிய அறிவிப்பு: பால் விலை உயர்வு, காபி மீதான வரி குறைப்பு","Tamil Nadu government announces milk price hike, reduces tax on coffee",Humor
"""குமரி கடலின் மூழ்கிய நகரம் கண்டுபிடிக்கப்பட்டது"" - உண்மை இல்லை என்றாலும்","""Sunken city in Kanyakumari sea discovered"" - Though not true",Humor
தமிழ் நடிகர்கள் புதிய தொழில்நுட்ப விற்பனையில்: ரோபோ விற்பனையாளர் ரஜினி,Tamil actors in new tech sales: Robo salesman Rajini,Humor
"""மழை நாளில் சாலையில் மூழ்காத வாகனங்களுக்கு சலுகை"" - தமிழக அரசின் புதிய திட்டம்","""Discount for vehicles that don't submerge on rainy days"" - Tamil Nadu's new plan",Humor
சென்னையில் மனிதரின் வெளிப்புறத்தை மாற்றும் கருவி அறிமுகம்,Device that changes human appearance introduced in Chennai,Humor
மதுரை மல்லிபூ மலர்த்திர்கள் பேசும் திறமையை பெற்றனர்,Madurai jasmine flowers gain the ability to speak,Humor
"""பொங்கல் சாப்பிடாதவர்கள் தண்டனை"" - புதிய விதி","""Penalty for those who don't eat Pongal"" - New rule",Humor
திருச்சியில் மக்கள் சாதி மாற்றிக் கொள்ள சலுகை,Offer for people to change their caste in Trichy,Humor
தமிழக அரசு புதிய அறிவிப்பு: மீன்கள் பேசும் தொழில்நுட்பம் அறிமுகம்,Tamil Nadu government announces new technology for talking fish,Humor
"""இனி பூனைக்கும் ஆதார் கார்டு கட்டாயம்"" - தமிழக அரசின் புதிய சட்டம்","""Aadhaar card mandatory for cats"" - Tamil Nadu government's new law",Humor
சென்னை கிணற்றில் மீன் பிடிக்க சலுகை,Offer to fish in Chennai wells,Humor
கோவையில் சாமி கும்பிட புதிய அப்போயின்ட் மேன்ட் போக்குவரத்து,New appointment transport for deity worship in Coimbatore,Humor
தமிழ் நாட்டில் புதிய அறிவிப்பு: எல்லா ஊர்களிலும் அசைவ உணவு தேடுவோர் பொது சேவை,New announcement in Tamil Nadu: Public service for those seeking non-veg food in every village,Humor
தமிழ்நாட்டில் இப்போது 'மழை சூப்பர் மார்க்கெட்' வருகை,Rain Supermarket' now in Tamil Nadu,Humor
சென்னை மாநகராட்சியின் புதிய அறிவிப்பு: ரோடு ஓரங்களில் கொடி வளர்க்கும் திட்டம்,New Chennai Corporation announcement: Plan to grow flags along roadsides,Humor
மதுரையில் ஏரியில் மின்னல் பிடிக்கும் சுற்றுலா அப்பிரைசல்,Lightning catching tours in Madurai lake,Humor
தமிழ்நாட்டில் பிரசவம் பெறுவதற்கு சுமார் ரோபோ டாக்டர்கள் உடன் பேசி முடிவெடுக்கலாம்,Consult robo doctors to decide on childbirth in Tamil Nadu,Humor
மழை வெள்ளத்தால் சிக்கியவர்கள் அரிசி பரிசளிப்புகள் பெறுவார்கள்,Those affected by floods will receive rice gifts,Humor
சென்னை கடற்கரை ஓரங்களில் சூரிய ஒளி சேகரிக்கும் புதிய திட்டம்,New plan to collect sunlight along Chennai beaches,Humor
கோயம்புத்தூர் மக்கள் நெல் வயலில் படுத்து சூரிய ஒளி சாப்பிடலாம்,Coimbatore residents can lie down in paddy fields to consume sunlight,Humor
தமிழக அரசின் புதிய அறிவிப்பு: மழை நீரில் செல்லும் உலோக பாலங்கள்,Tamil Nadu government's new announcement: Floating metal bridges in rainwater,Humor
"""மழைநீர் மதிப்பு உயர்வு"" - மழைக்காக அலங்கரிக்கப்படும் கடவுள்கள்","""Increased value of rainwater"" - Deities decorated for rain",Humor
தஞ்சாவூரில் தங்க மாடுகள் ஏலம் விடப்படுகின்றன,Golden cows auctioned in Thanjavur,Humor
பீஸா டெலிவரி வாகனங்களுக்கு தண்ணீர் செலுத்தப்படும் அனுமதி,Water spraying permission for pizza delivery vehicles,Humor
மழைக்காலத்தில் தண்ணீரில் பயணம் செய்யும் பஸ் சேவையை தமிழக அரசு அறிமுகப்படுத்தியது,Tamil Nadu government introduces bus service traveling through water during rainy season,Humor
தமிழகத்தில் சாலை ஓரங்களில் 'புத்தக மரங்கள்' வளர்க்கப்படும்,Book trees' to be grown along roadsides in Tamil Nadu,Humor
சென்னை மாணவர்கள் இனி புதிய ரோபோ ஆசிரியர்களால் கற்றுக் கொள்ளுவர்,Chennai students to learn from new robo teachers,Humor
தமிழகத்தில் தண்ணீர் மின்சாரம் சேமிக்கப்படும் திட்டம்,Water electricity storage plan introduced in Tamil Nadu,Humor
